content,score
"Terlalu sering eror, gangguan, sama terlalu sering harus di apdet",positive
Aplikasinya mudah dipakai dan dipahami tidak ribet,positive
Oke,positive
"Aplikasi ini cocok baget untuk kuliah online terus aplikasinya juga garibet makenya, intinya bagus :)",positive
Mantap,positive
"💪💪💪💪 Bang minta solusinya, ko saya mau update tapi tdak jadi",positive
Perfect,positive
Bagus,positive
Good,positive
Mau update tapi kok gagal terus?,negative
Ko ngga bisa masuk ya? mentok di logo,negative
Oke.mantapp,positive
Sangat cocok,positive
baik,positive
Luar biasa,positive
Ini gimana edlinknya kok bisa instal ya Padahal semua aplikasi ku udah kehapus semua,negative
Ntap,positive
Sangat membantu.. 😍,positive
Membantu pembelajaran saat pandemi,positive
"Kak sya mau bertanya, bagaimana si cara nya menghapus file"" yg sdah dikumpulkan, krna penyimpanan edlink sya sudah full, sehingga tidak bisa mengumpulkan tugas lagi kak. Mohon solusinya kak. Mohon responya kk",negative
Edlink oke,positive
Ok,negative
Sukses,positive
"Jelek, masa bolak balik harus di update.",negative
"Mau tanya admin, knpa lama skli ini terupdate dari kemaring sampai sekarang blum bisa masuk padahal jaringan disini sudah sgt baik.... Mohon penjelasan / Bantuan Admin dari sy berhubung saya gunakan Aplikasi ini dlm belajar online 🙏🙏🙏",negative
Ok,positive
"Sebelumnya maaf, Kenapa edling udha di ubdate tapi tidak ada notifikasi, malahan edlinya lebih memburuk dari sebelumnya.. 🙏🙏🙏🙏",negative
Sangat bagus,positive
Maaf ka udah aku update tapi terus terusan harus di update,negative
Mengapa edlink sevima ini gak bisa di download di Android ya ? Gimana caranya biar bisa di download ?,negative
👍,negative
Mantap,positive
"Kenapa saya download lagi gak bisa,, tolong donk kak soalnya msih buat kuliah",negative
"Setelah update malah memburuk, gk ada notifikasi masuk ke hp sama sekali. Tolong perbaiki",negative
Sangat membantu dan baik sekali,positive
"Izin download file tidak bisa, peeizinan tidak bisa di rubah",negative
Kak saya ada masalah diaplikasi edlink susa untuk mengirim file dan file yg ada diedlink susa sihapus itu gimna ya kak,negative
Min kok jadi gini,negative
ERROR TEROSSSSSS,negative
"Ka saya mau kirim file dokumen , tapi dokumennya gk bsa di ketemukan itu kenapa ya ? Padahal di dokumen whatsap dokumen lainya udh tersimpan ...",positive
"Lumayan, cuman lemot aja app nya",positive
Mohon maaf KK kenapa saya tidak bisa meng apded edlink apakah jaringan atau sistem TDK baik mohon bantuannya 🙏🙏🙏,negative
top,positive
"Hi admin. Mohon perbaikan, setelah upgrade edlink nggak ada pop-up. Jadi sering ketinggalan notifikasi.",negative
Mantap,positive
"Mohon maaf kepada admin. Kenapa edlinknya error sedari tadi, apa sedang dalam perbaikan untuk update? Tapi, di mohon sebelum jam 8 sudah tidak error lagi, jawaban-jawaban luar biasa untuk dosen dari saya menunggu di sampaikan untuk di baca. Terima kasih",positive
"suka error,.. lelet",negative
Mohon perbaikan ny nilai saya ambruk. Karena soal2 yg muncul ke edlink. Sama semua ggk ada bedahnya. Setelah konfirmasi Jawab. Baru kembali membaik pertanyaannya. PHP 😭,negative
"Daring mulu pinter kaga gobl*k iya, Bayaran mulu sekolah kaga",negative
Bagus,positive
"K ada tugas di edlink, terus gurunya minta jawabannya dikirim tapi hanya link nya aja, jdi gimana cara ngirim link nya ? Harus ufload filenya dlu atau gmna, soalnya dari tadi biar dapet link nya gk tau dmna, please jawab, malam ini terakhir",positive
Gak bisa di bukak,positive
Gabisa di update Makin lama makin parah aja edlink ni,negative
"To kenp beberapa hari ini saya g bisa buka edlink,akhirnya saya ketinggalan dgn peljaran dan tugas kuliah.terimakasih",positive
Eror Mulu,negative
Mantap,positive
Jelek,negative
Membosankan menunggu loading jelek sekarang,negative
Kenapa diupdate ga bisa?,positive
Saya mohon tolong aktif kan apilikasi ini,positive
mantap,positive
Ok,positive
Cacat,negative
Sangat baik untuk mengetahui Info kampus melalui siakad👍,positive
Sangat baik yang kurangnya mohon di perbaiki,positive
Menjadi platform PJJ terdepan👍😁,positive
Kalo bisa gausah lah di upgrade2 .eror kali ntahapa pun . Abis aplikasi di hp ku loh semua kuhapus gara2 upgrade . Tolong lah yaa .jadikan sekali aja yang bagus gitu semua lengkap di applikasi ni biar gausah upgrade2 . Capek kali loh .belum lagi pas di buka loading,negative
Gajeb bgt min masak setiap mau buka diperbaharui terus males bgt liat apk nya klo bukan buat pendidikan udah uninstall dari dulu,negative
Semakin kurang baik dan Eror terus kadang bisa kadang enggak.pas dadline mepet eh EROR.,positive
Good,negative
good and excellence,positive
Kok lola ya tidak bisa di buka,negative
Sangat membantu,positive
Tugas banyak k0ntl,negative
Eror terusdd,negative
Menarik,positive
Gabisa di instal,negative
Aplikasi nya jelek 🤧 susah masuk pdhal jaringan baguss 🤦,negative
Setelah update jadi eror,negative
"Belajar online denagn mudah. Namun kadang aplikasi edlink ada kendala, susah masuk ke aplikasi edlink",positive
Mantap,positive
"Pembaruan terus ,tapi eror tetep",negative
"Apk nya sering bnget eror, dikit2 install lagi.. update lagi..🤦🏻‍♀️",negative
Sangat membantu sekalii,positive
Eror trossssss ngak guna!!!,negative
Sungguh membantu,positive
Mantap,positive
"Baru juga di update udah harus di updet lagi aja,",negative
Selalu Di Upgrate trus Jadi Gx Bisa msuk,negative
Tolong dong ko ngk bisa terbuka,negative
Jelek,negative
Bagus,positive
"update yg saat ini banyak gangguan,' semoga bisa cepat di perbaharui kmbali,,agar bisa lebih baik untuk di gunakan,",negative
ok,negative
Gooooodddd😘👍,positive
Lain kali permudah sistem donwload untuk android sama. Bisa ngecek siapa yg udah ngumpulin via Android,positive
Aplicasi bagus utk pembelajaran,positive
"Aplikasi taik , sering tidak bisa di buka aplikasi ga guna 🙄",negative
Sekedar saran Jagan selalu update aplikasi yaa min karna ramx hp sudah penuh hehee,negative
Sangat membantu saya,positive
Oke,positive
"Sangat membantu. Kalau boleh saran, buatkan tampilan agar bisa menjawab komentar orang lain. Dan orang tersebut mendapat notifikasinya (Seperti Facebook). Terima kasih",positive
Kadang susah masuknya . Perbaiki lebih baik lagi,negative
"Edlinknya suka eror, di buka pasti keluar sendiri, masih enak edlink yang versi lama",negative
Bagus,positive
"Min kok makin lama edlink ini kok makin gak bagus ya, notifikasi pemberitahuan tidak pernah muncul, jari sampai sampai saya tertinggal kuliah. Mohon di perbaiki lagi ya",negative
Sangat puas,positive
Tanks verymuch. Is the best,positive
Bagus aplikasinya,positive
Ok,positive
Bagus,positive
Sering up date,positive
Semakin ditingkat kn lagi.,positive
good lah,positive
Keren,positive
Ok,positive
"Suka error gabisa dibuka, loading mulu gabisa masuk jadinya saya suka tidak ikut kelas dan susah mengumpulkan tugas yg dikumpulkan di edlink. Sekarang sudah tidak ada notifikasi. Mohon diperbaiki segera, terimaksih",negative
Bagus,positive
"seringgg bermasalah, kepaksa pake krn kampus",negative
Sangat baik,positive
Bagus cuman agak lama menunggu,positive
"Gara² aplikasi ini tidur saya tidak nyenyak, makan tidak enak, pikiran saya jadi pusing. Makasih lah buat yang udh buat aplikasi ini.",positive
Terbaik,positive
Sngat bagus,positive
Edlink sangat membantu saya dalam proses belajar Dan juga banyak menginformasikan ilmu lewat hal -hal pendidikan yang dibagikan diedlink.,positive
Tidak membuat mahasiswa lebih pintar,negative
Bagus banget,positive
Good,positive
Video materi tidak bisa di lihat...bagaimana ini admin..?,negative
"Bagus sekali apknya ,cuma kadang suka eror tetapi harus di perbaharui lagi baru bagus lagi",positive
Semoga mnjadi lebih baik lagi versinya,positive
Edlink memang pualing topcer. 🤭👍,negative
Ok,positive
Bagus,positive
Bagus,positive
Edlink baru minta update kok rada2 error' gak mau kebuka beranda nya..🤦,negative
Kuliah jadil lebih mudah.,positive
Good,positive
bgus,positive
Ada notif minta update. Klik lah update. Ga bs2. Akhirnya uninstal. Coba download lg. Eror ga bs dondload2. Sinyak bagus tpi ga bs download jg. Sinyal muter2 dr smlm. Udah coba direstrt hp ny ttp ga bs. Super bad jelek sejeelek2nya !!!!!!,negative
Aplikasi ini sangat bermanfaat dan membantu saya dalam proses kuliah. Love edlink,positive
Good 100,positive
Aman,positive
Kerennn,positive
Sangat bagus 🙏,positive
Bagi sekqli,positive
Sangat membantu dalam proses perkuliahan,positive
Ini kenapa gak bisa buka tugas sama kolom komentar. Aku instal ulang juga lama progresnya. Kirain kuota ku tapi buka YouTube lancar lancar aja tolong dong ini urgent mau kuisss ni😭😭😭😭,negative
"Min tolong buat penyimpanan personalnya kan cuma 100 MB, tambahin kapasitasnya yaa, soalnya kalau upload tugas kadang gk bisaa, karena udah full penyimpanannya, kalau yg udah ke upload di hapus, nanti tugas yg dlunya dikirim malah hilang 😭",positive
Sangat baik,positive
Baik.,negative
Mohon di bantu pinjaman nya,positive
"User interface ribet, tidak bersahabat dengan pengguna. Dan tidak bisa mengunduh file materi",negative
Bermanfaatnya,positive
，@，😬😢😠😠😠😬😉😬😠👥:Σ(O_O；)-P=):-)=)3:):)3:),positive
Mantap,positive
terdapat kesalahan pada saat saya mau membuka coment pasti loadingnya lama dan setelah itu langsung saja kembali ke layar utama,positive
"Nggak bisa di buka loading terus pada hal internet lancar, mau ngumpulin tugas kuliah nggak bisa, mohon di perbaiki",negative
Baik,positive
Edlink sangat membantu selama perkuliahan online ..Terima Kasih edlink,positive
Makin hari edlink makin rusak bahkan notifikasi tidak berfungsi sama sekali saya jadi lambat kuliah dan lambat mengumpulkan tugas Dikarenakan Notifikasi yang rusak,negative
Bagus buat belajar sendiri di rumah,positive
Min ko edlik saya kaga mau kebuka ya padahal saya udh updet ko jadi lebih parah,negative
Mantap luar biasa....tapi kadang2 susah pas aplod tugas,positive
Mayan,positive
Terimakasih atas pembaruannya Jadi semakin mudah,positive
Apk eror mohon cepat di perbarui min saya banyak tugas,negative
Kenapa wdlink saya gak bisa d buka Cuman gambarnya aja.apa solusi nya,negative
"Dulu saya pernah mendaftarkan Edlink terus sudah lama tidak saya pakek terus ini saya ganti hp saya login ke akun lama saya tidak bisa terus saya daftar ulang tulisannya sudah terdaftar ini emang gak boleh pakek edlink ya saya, saya juga sudah kirim email juga",negative
I like,positive
Kurang puas,negative
Min kenapa edlik nya error jadi susah buat belajar min gimana ini min,negative
lemot,negative
Mantap memudahkan kuliah kami bnget,positive
Tolong mengerti terimakasih atas kunjungan Anda,positive
"Keren bgt, dan permudah mahasiswa utk belajar secara OL.",positive
Ajib banget aplikasi nya;),positive
"Memilih metode absensinya error, tidak bisa dipencet pilihannya, mohon developer segera memperbaikinya",positive
Bermanfaat sekali,positive
Kenapa sih sering disuruh update padahal baru beberapa hari aja?,negative
"Aplikasinya sering error', padahal sinyal saya bagus tetapi tertulis periksa jaringan anda . Saya mau absen jd susah. Tolong diperbaiki",negative
Kenapa selalu error gitu sih?? kuliah terbengkalai kalau begini terus. Mohon tindakan agar kedepannya bisa lebih baik,negative
Sangat membantu,positive
Mantap,positive
"Sering Error,trus minta update terus",negative
Baguss,positive
Sering eror pada mau masuk app nya,negative
Bagus,positive
Payah.. kok edlink skrg gak ada nitif kalau dosen ngasih materi. Patch sebelumnya lancar jaya,negative
Bagiss,positive
Trimakasih,positive
👍,positive
Saya kasih bintang satu karna sering banget di minta update kalu satu bulan 1 kali gak papa tapi ini satu bulan bisa 2 kali😣,negative
Very Good,positive
👍👍👍,positive
Aplikasinya eror,negative
Good,positive
"Aku sangat menyukai apk ini karena bagus banget buat ngumpulin tugas menerima, dan pemberitahuan dari setiap materi yang akan diberikan oleh dosen😊",negative
Kenapa edlinknya tidak bisa diperbaharui?,positive
Aplikasi Makin Buruk Sekarang Gadak Notifikasi Mohon diperbaiki,negative
Aplikasinya bagus...cuman mengapa selalu error ketika saya buka. Padahal aplikasi ini sangat penting bagi saya sebagai pembelajar...tolong diperbaiki lah...,negative
Ini bgmna cara pake aplikasi edlinknya biar bisa lihat materi yang di berikan sma dosen.,negative
Terlalu sering upgrade,negative
Sering di perbarui,positive
Sngat bagus,positive
Mntap,positive
B aja,negative
"Kok gk bisa login,",negative
Gitu aja dulu,negative
Bagus,positive
Update nya ko nga bisa lama benget,negative
Banyak erornya,negative
Apk lemot banget,negative
Good,negative
Baik,positive
3 dulu aja,negative
Jelek,negative
Aplikasi jelek,negative
Edlink tidak bisa di perbarui bagaimana ini ???,negative
bagus,positive
edlink sering eror min,negative
"Min kenapa si sring eror, minta di perbarui padahal ga ada perbarui di play store, kan jadinya ga bisa dibuka ini solusinya gmna.",negative
Gatau,positive
Nice,positive
Aplikasi nya eror,negative
Lumayan,negative
Good,positive
Tidak mendukung paket belajar,negative
Bagus,negative
"Ini kok minta di perbarui,, tapi di buka di play store gak ada pembaruan????",negative
Keren jdi sarana belajar. Sangat Bagus,positive
Bagus,positive
"Ingin kirim screenshot an nya tapi gpp deh. Min, kenapa ya gabisa dibuka padahal udah di update bbeberapa kali. Udah di uninstal pasang lagi, gitu aja terus. Masih gabisa masuk duh.",positive
Di update beberapa kali tetapi pas dibuka kembali apk nya malah di suruh update lagi,negative
Kenapa apk nya tidak bisa di perbarui???,negative
Updateeee Tapi Tak bisa di Update,negative
Aplikasi ribet,negative
Sudah update kok masih ada notif perbarui??,negative
Ucrh,negative
Bagus,negative
Nice,positive
Tidak bisa masuk ke aplikasi,negative
Sangat bagus,positive
Alhamdulillah.. Aplikasi ini cukup membantu dan cocok digunakan dalam pembelajaran online,positive
Kadang2 lemot sihh,negative
"Aduh gw sudah update tapi masih di suruh update lagi,dan ngk bisa masuk, gimana ni?:(",negative
Cukup bagus,positive
Baii,positive
setangg..knpa eror lagi..,negative
"Maaf ini edlink nya kenapa ya, minta di perbarui. Sekali di perbarui tapi gak bisa juga. Tetap juga keluar.",negative
Bgus,positive
iii,positive
"Setelah diperbaharui, sangat loading saat ingin meng upload tugas",negative
ok,positive
Udah diperbarui kok masih belum bisa masuk ya? Sering lemot juga setiap kali dibuka.,negative
lumayan walaupun lelet,positive
Lumayan,positive
MasyaAllah,positive
Sering loading ga bisa masuk,negative
Apk ini bagus,positive
good,positive
Bagus,positive
Sangat membantu,negative
"Di suruh update, sudah saya update tetep kembali diminta update, padahal tugas sudah menunggu dri dosen, tolong di perbaiki lagi 🙏",negative
"Min kenpa yah, aplikasinya sering eror ? Dan selain itu biasanya kalau aplikasinya eror kita bisa login melalui web, tapi skrg tidak bisa..?",negative
"Loading ya lama bgt, padahal sinyal full tp muncul trs terdapat gangguan jaringan. Mohon perbaikan ya 🙏",negative
"Pake data ataupun wifi ga ada pengaruh sedikitpun, tetap saja lelet dan selalu ada pemberitahuan sambungan anda putus, padahal mke Yt dan apk lainnya lanjar jayaaaaa, mohon klarifikasinyaaaaa🤗",negative
😎😎😎 keren,positive
Gud,negative
Gud,negative
Gudd,negative
"Kalau mau update apk tuh harus nya tau waktu, jangan pas lagi waktu perkuliahan",negative
Mantap,positive
Keseringan eror,negative
Mantap,positive
"Kadang error, saya kadang telat masuk jam kuliah soalnya edlink ny suka kluar sendiri..",negative
Sangat puas,positive
Ditingkatkn lgi ya developer,positive
Bagus,positive
Sangat bagus,positive
"Apk Gk bisa dibuka padahal buka youtube,ig dll bisa, saya jadi sering telat kirim tugas dan masuk kuliah online",negative
Mantul,positive
Suka lama kalau ngirim tugas selebihnya sih bagus,positive
"Tolong untuk koneksinya diperbaiki diaplikasi android ataupun di web/di pc sering down, tolong diperbaiki",negative
Nanti di tambah bintang nya kalo udah lancar make apk nyaa 🙂🙂,negative
Keren bnget.,positive
Aplikasinya selalu Eror ketika lama kita buka aplikasinya,positive
gud,positive
"Mantap, aplikatif, efektif dan efisien",positive
Wow sangat bgus,positive
"Sinyal bagus tapi tetap tidak masuk, *pastikan jaringan wifi tersedia* padahal sinyal mangpret bro",negative
Uploadnya tugasnya lama sampe abis waktunya😠,negative
"Saya sering mengirim tgs le dosen, terus di apk tertulis dikirm, tapi pas liat daftar orang yg mengumpulkan tgs nama saya gak ada, padahal saya udah ngirim tgs lohh dan akhrinya saya gak dapat nilai",negative
👍👍👍,positive
Sangat bagus,positive
Bagaimana cara memperbaharui kemabli akun edlinya,negative
Aplikasi bagus,positive
"Setelah di update, saya share link google form, malah tidak bisa di klik sama mahasiswa. Semester depan, saya tidak mau pakai Edlink lagi.",negative
Good,negative
Kok aplikasi edlink ny gk bisa kebuka... Ada tampilan pembaruan dan keluar.. Di klik pembaruan kagk muncul apa2,negative
Kok mau pasangnya lama bngt..hmpir satu jam,negative
Baik,positive
Lama uplod doang.,negative
Sampah,negative
Lag terus kirim jawaban. Upload jawaban lama banget ada batas waktu juga,negative
👍👍,positive
Aplikasi down terus mau ngirim tugas jd susah padahal waktu mepet,negative
Ok,positive
Bagus,positive
Sering eror nilai aku 0 Gara gara eror,negative
Kenpa gk bisa di perbarui gue mau belajar,negative
Luar biasa,positive
Okey kak makasih kak untuk infonya kak skrang notifnya suda ada kak♥️☺️,positive
bagus sekali,positive
"Lola parah, gabisa login, udh login gabisa masuk kelas,, tolong di perbaiki. Mau UAS nih. Jangan sampe lagi uas kayak gini",positive
Sangat membantu sekali,positive
Dengan aplikasi ini sangat membantu sya dalam artian tidak perlu kekampus dirumah saja bisa kuliah.,positive
Bagus,positive
Snagat Membantu sekali,positive
Baik,positive
luas biasa,positive
Alhamdulillah Terimksh edlink di saat pandemi covid-19 sperti skrg memudahkan dlm melakukan aktivitas belajar magister secra online,positive
Bagus untuk buka tugas,positive
"Sejauh ini aman aman saja . Mempermudah mengumpulkan tugas tanpa harus ngejar"" dosen 😎🤙",positive
Keren,positive
kebanyakan tugas....,negative
Sangat senang sekali,positive
Lola aduhh,negative
Mohon maaf izin bertanya Cara mengubah bahasa sebelah mana min?,negative
Sering bngt eror kadang nilai ulangan suka gk sesuai sedih bngt :(,negative
Sangat baik,positive
Kenapa pembaharuan nya harus di paksakan?! Seharusnya pengguna bebas di beri pilihan untuk memperbaharui aplikasi atau tidak!! Kualitas aplikasi juga sangat jelek!! karena mengharuskan pengguna memiliki jaringan internet yang sangat lancar unruk bisa du gunakan,negative
Mantap,positive
tolong perbaiki donk sering eror tidak seperti versi yang lama,negative
"Untuk quiz lemot sekali. Pdhl saya sudah pilih jwbn yg benar, ttp error jadi 0 .",negative
😁,positive
"Teruntuk edlink yang terhormat, tolong jangan banyak update lah, di masalah jaringan nya tolong jangan harus selalu jaringan bagus, ga semua orang mempunyai wifi ga semua orang mempunyai hp yang bagus, dan ga semua daerah itu jaringan nya bagus jadi tolong banget nilai gua selama semester ini tuh buruk karna ya jarang ngerjain quis karna edlink nya aja sering error",negative
Edlink sangat bermanfaat dan membantu sekali,positive
Good,positive
Ketika ada update terbaru user tidak bisa masuk ke aplikasi dan baru bisa masuk ketika sudah terupdate. Tolong dong meskipun harus di update perbolehkan usernya masuk ke aplikasi dulu. Kalo urgent kita mahasiswa yg pake bisa ketinggalan sesi dan malah bikin rugi.,negative
"Kenapa aplikasinya jadi sering down sih, kalau mau ngirim tugas suka loadnya lama, nah pas cobain Ke instagram sinyalnya bagus kok, speednya juga bagus, pas ngirim tugas di edlink malah down banget, pliss kenapa sih :(",negative
"berkat aplikasi ini, banyak nilai saya yang hancur. terima kasih edlink . dosen jadi malas memeriksa dan tugas hanya jadi pajangan berkat aplikasi bego ini. terlalu mudah kena spam, sehingga dalam memeriksa tugas, dosen banyak yang lalai. Saran, jika tugas yang mahasiswa upload tidak di nilai dosen, ada baiknya jika notifikasi ada sebagai pengingat dosen agar memeriksa tugas tersebut. notifikasi berulang jika masih tidak di nilai si dosen :) aplikasinya sudah bagus, cuma masih banyak kelemahan",positive
"Ketika mau buka edlink lama banget terkadang jg gak mau dibuka, padahal jaringan penuh.",negative
"Jelek banget apknya, suka eror. ih gw benci dosen gw yang mewajibkan pake apk ini.Padahal kredibilitasnya juga kasih dipertanyakan. Bintangnya aja 3.1, entah pencipta apk ini siapanya dosen gw 😒",negative
Bagus,positive
"Tolong tambahkan halaman khusus untuk tugas-tugas dihalaman utama, soalnya kadang gak sadar kalau ada tugas yang lain.",positive
Apk nya bagus,positive
Jelek bat sumpah apknyaa💔,negative
"GAUSAH DI DOWNLOAD , BUKANNYA MEMPERMUDAH MALAH MEMPERSULIT . SOAL DI KUIS TIDAK BISA KEGANTI , LOADING LAMA .",negative
Muda2han kedepannya app ini makin baik dan nyaman di gunakan,positive
"Edlink eror melulu, padahal jaringan udah 5G",negative
"Aplikasi sering error, kadang buka materi gamau, saat mengerjakan quiz loading kw soal selanjutnya lama, hasil nilai quiz tidak sesuai dengan soal yg benar terjawab. tolong diperbaikin aplikasinya, karena kasian para mahasiswa yang di tuntut untuk mengerjakan quiz dengan aplikasi edlink ini menjadi rugi diakibatkan karena buruknya aplikasi ini, terimakasih.",negative
"Jelek aplikasinya GK pantas jadi media pembelajaran , memudahkan dosen menyulitkan mahasiswa, kalau kuis suka eror edlinknya",negative
"Kalau ada quiz lelet banget. Jawaban tidak terkonfirmasi, habis waktu buat nungguin loading, di akhir gabisa ngirim jawaban. Padahal udh jawab benar semua malah dapat 0 luar biasa wkwkwkwk.",negative
"Edlink banyak erornya membuat saya tidak dapat menjawab qius dengan benar dan saya mendapatkan nilai 0, saya protes ke dosen tidak diterima, sudah 5 saya mendapatkan 0 dalam qius tersebut karena kesalahan edlink ini, apakah edlink bisa memperbaiki nilai saya yang 0 tersebut karena sering server down ini, tidak bisa, buat aplikasi yang benar lah, perbesar kapasitasnya, anda bisa menjawab minta maaf tapi saya mengulang 1 semester untuk 1 mata kulia tersebut.",negative
"Kak, saran yang kemarin kakak bilang itukan hanya berlaku buat dosen. Saya mahasiswa kak. Kami juga sekarang mulai kirim tugas lewat email karena edlink gitu. Penyimpanan nya benar-benar GK bisa dihapus kak. Bukan hanya saya. Teman satu kampus semua gitu. Sampai beberapa dosen mengambil kebijakan untuk memindahkan mata kuliah ke aplikasi lain. Mungkin kalau kakak bisa jelaskan proses penghapusan media untuk mahasiswa, saya bisa infokan ke teman-teman saya",negative
Edlink kenapa susah banget buat login nya saya sudah satu minggu alfa karena tidak bisa masuk edlink padahal jaringan bagus😓,negative
Rekomendasi,positive
Aplikasi'a kurang efektif Krena sering eror,negative
Tolong tambahkan progress pengiriman upload file ke cloud/ penyimanan pribadi dan tambahkan pemilihan lebih dari satu saat upload ke penyimpanan cloud. Serta pecepat respon server dan perhalus user interaface nya agar lebih nyaman saat menggunakan EdLink. Sisanya udah bagus.,negative
kenapa edlink ga bisa di buka sudah berkali kali di instal taoi ga bisa masuk masuk buka edlink ny,negative
Hebat,positive
Ok,positive
"Terimakasih edlink... berkat aplikasi ini saya terbantu dalam ujian dan saya berhasil mendapatkan nilai yg sangattttt wow, kebanyakan mutar2 aja",negative
"Perbaiki masalah ketika meng-upload file yang berukuran besar, selalunya ketika meng-upload video terjadi masalah jaringan padahal jaringan dalam kondisi yang baik-baik saja, pakai Wi-Fi pun butuh waktu yang lama ketika melakukan upload.",negative
Rugi nilai..... cepetin lagi ya kualitasnya jangan lemot.. soalnya saya mahasiswa ngerjar nilai. Makasih,negative
"Kok beberapa hari ini setiap buka apk nya eror mulu ya, pdhl dari kemarin lancar aja. Tolong di fix admin",negative
Cinta itu buta,positive
"Aplikasi sering force close. Lagi ngisi soal, tiba2 kereset bahkan force close. Dan juga kadang gak bisa ngirim informasi, entah kenapa.",negative
Mohon maaf kak edlink setelah di upgrade kok jadi lebih susah dalam upload tugas terus kalau ada pemberitahuan tidak muncul di layar hp,negative
"Senang karena nyaman dilihat apk setelah pembaharuan, ada kemajuan..🤗 mudah dimengerti, Sangat bermanfaat bagi perkuliahan online♥️ terimakasih :)",positive
loading nya lama bangat tolong dong di perbaiki,negative
"Pas buka PUBG, ML, FF, GENSIN INMPACT lancar, giliran buka aplikasi ini tiba-tiba loading terossssss",negative
"Hallo kak , kenapa ya saya mau upload tugas tapi ga keupload terus , bahkan ada tulisan gangguan jaringan periksa koneksi terus padahal sinyal full kuota juga masih banyak 🙏",negative
"Edlink makin hari kok makin banyak eror nya si :( aku mau ngirim tugas makalah tulisan nya periksa koneksi terus padahal sudah pakai wiffi sama data tetap aja. Sampe deadline nya kelewat, capek capek ngerjain 😌 malah gk dapet nilai makasih edlink",negative
Gangguan terosss,negative
Aplikasi edlink ini sangat bermanfaat bagi saya karena dapat membantu saya melakukan kuliah online,positive
"Down server terus ah jelek. Mau upload tugas pas deadline malah ga bisa buka. Apk bagus lah, lebih bagus di hapus.",negative
Bagus,positive
Kulia,positive
"Lebih bagus yang versi lama, versi baru ini menyusahkan, loadingnya lama untuk scroll ke bawah pun susah, padahal kamaren itu udah bagus banget",negative
"MATERI DARI TERTUTUP OLEH BERITA YANG TERKADANG TIDAK PENTING, DAN JUGA MATERI BARU BERADA DI BAWAH MATERI LAMA JADI TIDAK TAU MATERI YANG BARU ATAU YANG LAMA, MOHON PERBAIKAN NYA TERKADANG DOSEN TIDAK PEDULI TENTANG KENDALA INI JADI ABSEN KITA SEBAGAI MAHASISWA TERGANGGU",negative
"Ini aplikasi bukannya bikin bantu mempermudah pembelajaran dimasa pandemi,tapi malah mempersulit,sering ngadat dan harus bolak balik donlot. Diwaktu UAS malah ngadat , Menyebalkan,",negative
Toko pedia banyak membantu dlm banyak hal,positive
"Kebanyakan loading , upload tipe kb aja lama loadingnya padahal sinyal bagus",negative
"Apk gaje, bikin sakit kepala aja.",negative
Terbaik,positive
Sering tidak bisa dbuka. Tolong diperbaiki,negative
Mengapa pada saat saya ingin menambahkan tugas saya . Kenapa tidak bisa ditambahakan. Padahal saya ingin mengupload tugas saya,negative
Mantul bat dah pokonya,positive
"Mohon maaf nih,saya akan menyampaikan keluhan saya ketika memakai Edlink terkadang ketika Daring nih aplikasi membuat saya kesal karena tidak bisa dibuka sehingga sering membuat saya tidak bisa mengerjakan tugas"" yang telah diberikan oleh Dosen. Mohon kepada pihak Deploper Edlink agar diperbaiki segera",negative
Tidak bisa terbukaa edlink nya,negative
"Kenpa sya mau mengupload tugas tapi tdk bisa, katanya sudah penuh penyimpanan edlinknya",negative
Noob gak bisa dibuka,negative
Good,positive
Suka error,negative
"Edlink saya dari pagi gak bisa di buka min. Sudah saya hapus dan download ulang tapi sama saja, tidak masuk ke aplikasi malah muter terus😑😑 Itu gimana yah min. Mohon bantuan nya🙏🙏",negative
"Edlink kenapa gabisa dibuka terus, udah beberapa kali uninstall terus install lagi tapi tetep gabisa dibuka load terus, padahal jaringan bagus, udh coba pake wifi jg tetep gabisa.. tugas kuliah saya mana numpuk lagi duhhh",negative
Gggg,negative
"Kenapa setelah di update, notifikasinya tidak muncul lagi ya kak? Mohon informasinya",positive
Tidak baguss. Kuarang di pahami cara muali zoomnya,negative
Good,positive
"Kenapa jam di edlink tidak sesuai dengan jam atau waktu yang sebenarnya saat mengerjakan kuis juga tidak bisa, soal hanya mucul sebentar kemudian langsung keluar sendiri",negative
Mantap,positive
"Ini edlink aps sama yg di web hari ini susah kali masuk nya, gangguan kah..",negative
"Krn aplikasi ini tdk bagus menurut sya, krn knp loading terus",negative
aplikasi ini sangat membantu saya untuk kulon disaat kondisi sekarang:),positive
"Setelah di update malah gak bisa masuk, gak bisa masuk ke halaman login. Tolong segera diperbaiki, karena keluhannya bukan dari saya aja",negative
Sangat berguna dan saya selalu mendapat informasi terbaru,positive
"Edlink sarap lemot muter muter terus kerjaanya loding lama, gara gara sia aing telat ngerjakeun tugas, mau ngumpulin tugas loadingnya lama bet dah",negative
Kenapa saya tidak mendapatkan notifikasi jika dosen membagi materi di edlink?,negative
"Parah nih aplikasinya, masa kelas gk bisa dibuka. Klik kelas malah keluar sendiri dari aplikasinya. Mana lg ujian",negative
sangat bagus,positive
"Aplikasi yang sering kena gangguan. tolonglah benahi aplikasi ini, mengingat aplikasi ini merupakan salah satu aplikasi pembelajaran yang vital di tengah pandemi corona ini!",negative
